ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,16.02.2026 – 22.02.2026,23.02.2026 – 01.03.2026,02.03.2026 – 08.03.2026,УКУПНО
ПЛАНДИШТЕ,Брисање по основу смрти лица,1,3,3,7
ПЛАНДИШТЕ,Промена адресе пребивалишта,0,3,2,5
ПЛАНДИШТЕ,Промена личних података,0,1,0,1
ПЛАНДИШТЕ,Упис по основу пријаве пребивалишта,2,2,3,7
ПЛАНДИШТЕ,Упис по основу стицања пунолетства,1,0,1,2
ПОЖАРЕВАЦ,Брисање боравишта интерно расељеног лица,0,3,0,3
ПОЖАРЕВАЦ,Брисање по основу одјаве пребивалишта,13,20,18,51
ПОЖАРЕВАЦ,Брисање по основу смрти лица,13,23,11,47
ПОЖАРЕВАЦ,Брисање по службеној дужности,1,5,15,21
ПОЖАРЕВАЦ,Исправка техничке грешке,0,0,1,1
ПОЖАРЕВАЦ,Промена адресе пребивалишта,127,101,39,267
ПОЖАРЕВАЦ,Промена личних података,14,5,7,26
ПОЖАРЕВАЦ,Упис по основу пријаве боравишта интерно расељеног лица,0,0,1,1
ПОЖАРЕВАЦ,Упис по основу пријаве пребивалишта,20,29,13,62
ПОЖАРЕВАЦ,Упис по основу стицања пунолетства,12,11,10,33
ПОЖАРЕВАЦ-КОСТОЛАЦ,Брисање по основу одјаве пребивалишта,5,7,2,14
ПОЖАРЕВАЦ-КОСТОЛАЦ,Брисање по основу смрти лица,2,3,4,9
ПОЖАРЕВАЦ-КОСТОЛАЦ,Брисање по службеној дужности,0,0,2,2
ПОЖАРЕВАЦ-КОСТОЛАЦ,Промена адресе пребивалишта,22,5,7,34
ПОЖАРЕВАЦ-КОСТОЛАЦ,Промена личних података,3,1,1,5
ПОЖАРЕВАЦ-КОСТОЛАЦ,Упис по основу пријаве пребивалишта,1,6,4,11
ПОЖАРЕВАЦ-КОСТОЛАЦ,Упис по основу стицања пунолетства,1,4,3,8
ПОЖЕГА,Брисање по основу одјаве пребивалишта,2,8,8,18
ПОЖЕГА,Брисање по основу смрти лица,6,16,10,32
ПОЖЕГА,Брисање по службеној дужности,1,0,0,1
ПОЖЕГА,Промена адресе пребивалишта,23,61,26,110
ПОЖЕГА,Промена личних података,3,0,0,3
ПОЖЕГА,Упис по основу пријаве пребивалишта,6,7,6,19
ПОЖЕГА,Упис по основу стицања пунолетства,4,4,5,13
ПРЕШЕВО,Брисање по основу одјаве пребивалишта,5,4,6,15
ПРЕШЕВО,Брисање по основу смрти лица,3,5,6,14
ПРЕШЕВО,Брисање по службеној дужности,0,3,24,27
ПРЕШЕВО,Исправка техничке грешке,3,0,2,5
ПРЕШЕВО,Промена адресе пребивалишта,57,85,73,215
ПРЕШЕВО,Промена личних података,2,2,3,7
ПРЕШЕВО,Упис по основу пријаве пребивалишта,4,6,6,16
ПРЕШЕВО,Упис по основу стицања пунолетства,19,11,20,50
ПРИЈЕПОЉЕ,Брисање по основу одјаве пребивалишта,3,9,6,18
ПРИЈЕПОЉЕ,Брисање по основу отпуста из држављанства,0,2,1,3
ПРИЈЕПОЉЕ,Брисање по основу смрти лица,5,10,4,19
ПРИЈЕПОЉЕ,Промена адресе пребивалишта,99,19,16,134
ПРИЈЕПОЉЕ,Промена личних података,3,2,0,5
ПРИЈЕПОЉЕ,Упис по основу пријаве пребивалишта,8,7,9,24
ПРИЈЕПОЉЕ,Упис по основу стицања пунолетства,5,8,4,17
ПРИБОЈ,Брисање по основу одјаве пребивалишта,6,14,4,24
ПРИБОЈ,Брисање по основу отпуста из држављанства,0,0,5,5
ПРИБОЈ,Брисање по основу смрти лица,9,13,11,33
ПРИБОЈ,Промена адресе пребивалишта,4,9,4,17
ПРИБОЈ,Промена личних података,0,4,0,4
ПРИБОЈ,Упис по основу пријаве пребивалишта,0,7,0,7
